Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2012,Dallas Keuchel,HOU,4.007812739,4.113281495,0.97435897,1.476562588,0.10079576,0.10344828,-0.00265252,0.275964392,1.546875092,0.277192982,0.67901235,133.7290216,144.2638041,130.7675203,5.273437814,5.742889753,-0.469451939,5.124210734,5.401586096,Dallas Keuchel,9434,572971
2010,Jake Arrieta,BAL,4.664452418,4.305648386,1.08333333,0.807309072,0.11581292,0.10690423,0.00890869,0.267002519,1.534883915,0.288690476,0.69463549,109.5686167,109.8888207,124.016878,4.664452418,4.762228022,-0.097775603,5.166280973,5.333356489,Jake Arrieta,4153,453562
2019,Félix Hernández,SEA,7.158140551,3.139535329,2.28,2.134884024,0.17538462,0.07692308,0.09846154,0.289115646,1.534883939,0.309090909,0.62906725,145.1584389,134.0822469,112.8521291,6.404652072,6.004707546,0.399944526,5.16925175,5.01970234,Felix Hernandez,4772,433587
2017,R.A. Dickey,ATL,6.442105263,3.173684211,2.02985075,1.231578947,0.16687117,0.08220859,0.08466258,0.261517615,1.368421053,0.289930556,0.73202055,96.22562381,110.2726466,110.6611313,4.263157895,4.720797589,-0.457639694,4.786191488,4.904043651,R.A. Dickey,1245,285079
2019,Rick Porcello,BOS,7.382408101,2.323135416,3.17777778,1.600382176,0.18619792,0.05859375,0.12760417,0.276150628,1.39388125,0.307550645,0.65661479,114.2401734,105.2342465,112.304048,5.523899768,4.76276642,0.761133348,5.143947558,4.858729371,Rick Porcello,2717,519144
2013,Roy Halladay,PHI,7.403226717,5.225807095,1.41666667,1.741935698,0.18085106,0.12765957,0.05319149,0.233050847,1.467742116,0.248554913,0.62945368,181.9492758,160.3611834,135.8180141,6.822581485,6.14462895,0.677952534,5.104826784,4.855112697,Roy Halladay,1303,136880
2019,Jake Arrieta,PHI,7.297297024,3.383292256,2.15686275,1.393120341,0.18518519,0.08585859,0.0993266,0.277985075,1.474201419,0.316049383,0.73761261,104.6048002,107.5161547,100.5307212,4.64373447,4.887228086,-0.243493617,4.458487822,4.819960187,Jake Arrieta,4153,453562
2016,R.A. Dickey,TOR,6.683693731,3.341846865,2,1.485265274,0.17307692,0.08653846,0.08653846,0.256449165,1.367387077,0.279207921,0.70925553,106.1202478,118.0974692,112.0771001,4.455795821,5.026717614,-0.570921793,4.756362454,4.805080602,R.A. Dickey,1245,285079
2015,R.A. Dickey,TOR,5.29082401,2.561430672,2.06557377,1.049766669,0.14253394,0.06900452,0.07352941,0.240147783,1.194401187,0.257186082,0.73275862,96.25511471,110.0180878,116.7674284,3.905132008,4.481960716,-0.576828708,4.714408012,4.761166205,R.A. Dickey,1245,285079
2013,Jake Arrieta,- - -,7.168140806,4.898229551,1.46341463,1.075221121,0.18518519,0.12654321,0.05864198,0.212230216,1.327433483,0.23923445,0.69264069,122.4807699,124.8571214,120.4494178,4.778760538,4.839889577,-0.06112904,4.610631111,4.756325698,Jake Arrieta,4153,453562
2017,Blake Snell,TBR,8.280927184,4.10566978,2.01694915,1.043814351,0.21755027,0.10786106,0.10968921,0.231557377,1.329896803,0.276836158,0.70860927,95.62119743,98.83900572,103.7368161,4.036082157,4.193722087,-0.15763993,4.556487445,4.717147013,Blake Snell,13543,605483
2019,Corey Kluber,CLE,9.588783679,3.785046189,2.53333333,1.00934565,0.22619048,0.08928571,0.13690476,0.293333333,1.654205372,0.37037037,0.63829787,125.2112055,89.59065537,106.6702854,5.80373749,4.055130851,1.748606639,4.883844036,4.683242636,Corey Kluber,2429,446372
2018,Félix Hernández,SEA,7.22698058,3.411134834,2.11864407,1.561027805,0.18248175,0.08613139,0.09635037,0.258957655,1.400428237,0.285714286,0.63995838,134.9600541,123.6651978,109.7952837,5.550321086,5.177562156,0.37275893,4.652165556,4.627291153,Felix Hernandez,4772,433587
2016,Félix Hernández,SEA,7.16086909,3.815217138,1.87692308,1.115217317,0.18625954,0.09923664,0.0870229,0.237931034,1.323912956,0.271070615,0.73497854,95.38083172,111.0499783,104.6929895,3.815217138,4.633516806,-0.818299668,4.44564963,4.625209663,Felix Hernandez,4772,433587
2016,Blake Snell,TBR,9.91011236,5.157303371,1.92156863,0.505617978,0.24438903,0.12718204,0.11720698,0.265714286,1.617977528,0.356275304,0.72992701,86.44139057,82.24682009,102.3659155,3.539325843,3.393751394,0.145574449,4.347729677,4.5308052,Blake Snell,13543,605483
2011,Jake Arrieta,BAL,7.013966779,4.44972086,1.57627119,1.58379895,0.17782027,0.11281071,0.06500956,0.25,1.458100621,0.271676301,0.72678331,120.2580145,126.5763135,111.6893999,5.053072841,5.338235546,-0.285162705,4.52434744,4.524503549,Jake Arrieta,4153,453562
2019,Dallas Keuchel,ATL,7.269230441,3.115384475,2.33333333,1.278106451,0.18685832,0.08008214,0.10677618,0.261958998,1.366863844,0.298192771,0.80369844,83.70711546,107.6389955,91.45464631,3.7544377,4.722885147,-0.968447447,4.059661456,4.394832477,Dallas Keuchel,9434,572971
2010,Rick Porcello,DET,4.647542146,2.102459542,2.21052632,0.995901888,0.12,0.05428571,0.06571429,0.287022901,1.38934461,0.307414105,0.65928778,116.8546185,102.8480912,101.6738527,4.92418156,4.313498473,0.610683087,4.241361366,4.350162735,Rick Porcello,2717,519144
2018,Jake Arrieta,PHI,7.193050617,2.971042646,2.42105263,1.094594659,0.19060773,0.07872928,0.11187845,0.25,1.285714361,0.28742515,0.68136273,98.47867824,101.6482011,100.353244,3.961390195,4.255026235,-0.29363604,4.080049889,4.290269723,Jake Arrieta,4153,453562
