Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Keenan Allen,13.0,32.0,WR,15,15,211,2-Jun,California,4/27/1992,11,6.0,San Diego Chargers / 3rd / 76th pick / 2013,AlleKe00
Kiran Amegadjie,72.0,22.0,OL,6,1,326,5-Jun,Yale,2/1/2002,Rook,1.0,Chicago Bears / 3rd / 75th pick / 2024,AmegKi00
Tyson Bagent,17.0,24.0,QB,4,0,213,3-Jun,Shepherd,6/8/2000,1,0.0,NaN,BageTy00
Josh Blackwell,39.0,25.0,DB,17,1,180,11-May,Duke,4/5/1999,2,2.0,NaN,BlacJo00
Austin Booker,94.0,22.0,DL,17,0,245,6-Jun,MinnesotaKansas,12/14/2002,Rook,1.0,Chicago Bears / 5th / 144th pick / 2024,BookAu00
Larry Borom,75.0,25.0,OL,8,4,333,5-Jun,Missouri,3/30/1999,3,2.0,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
Kevin Byard,31.0,31.0,DB,17,17,212,11-May,Middle Tenn. St.,8/17/1993,8,7.0,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01
Adrian Colbert,24.0,31.0,DB,5,0,205,2-Jun,Miami (FL),10/6/1993,7,0.0,San Francisco 49ers / 7th / 229th pick / 2017,ColbAd00
Byron Cowart,93.0,28.0,DT,15,7,300,3-Jun,Maryland,5/20/1996,5,4.0,New England Patriots / 5th / 159th pick / 2019,CowaBy00
Jake Curhan,73.0,26.0,OL,10,2,316,6-Jun,California,7/9/1998,3,1.0,NaN,CurhJa00
Scott Daly,46.0,30.0,LS,17,0,245,1-Jun,Notre Dame,2/7/1994,3,1.0,NaN,DalySc01
Gervon Dexter,99.0,23.0,DL,15,15,312,6-Jun,Florida,10/5/2001,1,8.0,Chicago Bears / 2nd / 53rd pick / 2023,DextGe00
Tremaine Edmunds,49.0,26.0,LB,17,17,250,5-Jun,Virginia Tech,5/2/1998,6,9.0,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
T.J. Edwards,53.0,28.0,LB,17,17,242,1-Jun,Wisconsin,8/12/1996,5,9.0,NaN,EdwaTJ02
Darrynton Evans,25.0,26.0,RB,5,0,203,10-May,Appalachian St.,7/9/1998,4,0.0,Tennessee Titans / 3rd / 93rd pick / 2020,EvanDa02
Gerald Everett,14.0,30.0,TE,17,4,252,3-Jun,South Alabama,6/25/1994,7,0.0,Los Angeles Rams / 2nd / 44th pick / 2017,EverGe00
Jonathan Ford,64.0,25.0,DL,4,0,338,5-Jun,Auburn,9/29/1999,1,0.0,Green Bay Packers / 7th / 234th pick / 2022,FordJo00
Kyler Gordon,6.0,25.0,DB,15,13,200,Jun-00,Washington,12/17/1999,2,5.0,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
Daniel Hardy,92.0,26.0,DL,17,0,240,3-Jun,Montana St.,12/15/1998,2,1.0,Los Angeles Rams / 7th / 235th pick / 2022,HardDa01
Elijah Hicks,22.0,25.0,DB,12,7,200,11-May,California,10/16/1999,2,3.0,Chicago Bears / 7th / 254th pick / 2022,HickEl00
Travis Homer,20.0,26.0,RB,10,0,202,10-May,Miami (FL),8/7/1998,5,0.0,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00
Teven Jenkins,76.0,26.0,OL,14,14,321,6-Jun,Oklahoma St.,3/3/1998,3,5.0,Chicago Bears / 2nd / 39th pick / 2021,JenkTe00
Collin Johnson,80.0,27.0,WR,9,0,222,6-Jun,Texas,9/23/1997,4,0.0,Jacksonville Jaguars / 5th / 165th pick / 2020,JohnCo01
Jaylon Johnson,1.0,25.0,DB,17,17,196,Jun-00,Utah,4/19/1999,4,8.0,Chicago Bears / 2nd / 50th pick / 2020,JohnJa13
Roschon Johnson,23.0,23.0,RB,14,0,225,Jun-00,Texas,1/31/2001,1,2.0,Chicago Bears / 4th / 115th pick / 2023,JohnRo07
Cole Kmet,85.0,25.0,TE,17,16,260,6-Jun,Notre Dame,3/10/1999,4,4.0,Chicago Bears / 2nd / 43rd pick / 2020,KmetCo00
